"protocolo";"data_manifestacao";"municipio_denunciante";"municipio_fato";"localFato";"manifestacao";"status_atual";"desc_status";"sigla";"nome";"tipo_manifestacao";"assunto";"sub_assunto"
"2020.0321.085618-11";"2020-03-21 08:56:18";;"GOIANIA";"Setor Pedro Ludovico Avenida 4 Radial, Castrillon Auto peças e ";"Conforme o mandato mandaram fechar todas as lojas de ruas. Porém a Empresa Castrillon Auto Peças na Avenida 4 Radial no Setor Pedro Ludovico Estão Obrigando Os Funcionários a Trabalhar de Portas Fechadas e Fazendo Ameaças a Não Pagar o Salário do Mês se Não Ficarem Trabalhando lá Dentro com as Portas Fechadas.";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.085642-49";"2020-03-21 08:56:42";;"APARECIDA DE GOIANIA";"jardim cristalino";"loja de materias de construção esta aberta indo contra o decreto do estado de goias, nem alcool gel la tem, fica em frente o bretas e a magazine luiza na avenida independencia,jardim monte cristo, correndo risco de infecção pelo viros";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.085922-33";"2020-03-21 08:59:22";;"GOIANIA";"Centro médico do hospital do coração ";"Consultório médico consulta eletivas de cardiologia pode funcionar?";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.090043-49";"2020-03-21 09:00:43";;"APARECIDA DE GOIANIA";"jardim cristalino";"ferragista no jardim cristalino esta funcionando normalmente no dia de hoje, ninguem esta de mascaras e a unica ferragista aberta na regiao, em frente ao bretas monte cristo na avenida independencia";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.090104-40";"2020-03-21 09:01:04";;"GOIANIA";"Parque atheneu";"Grande maioria dos comércios da Avenida Bela Vista no Parque Atheneu estão abertos. Sou vizinho de uma Lan house e loja de importados Japan Conection na mesa avenida esquina com a Rua 07 unidade 101 e lá está lotado de pessoas usando a Lan house";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.091318-94";"2020-03-21 09:13:18";;"SAO LUIS DE MONTES BELOS";"João do Bispo locações ";"Locação continua aberta e entregando normalmente, clientes entrando e saindo a todo momento. ";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"COVID-19 - Corona Vírus";"Estabelecimento aberto"
"2020.0321.091710-62";"2020-03-21 09:17:10";"GOIANIA";"GOIANIA";"Avenida Independência 3001 leste universitário. Próximo 5a avenida ";"A loja Zé Bidão pescador tem funcionado normalmente. Trata-se de uma loja de caça e pesca.";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Solicitação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.091814-45";"2020-03-21 09:18:14";;"ITUMBIARA";"Saneago";"A saneago continua com funcionamento normal, não houve escala de revezamento, inclusive funcionários que foram dispensados do atendimento no vapt vupt ficaram a disposição do Distrito, gerando aglomerações de funcionários nós setores de trabalho, o pessoal que trabalha na rua com serviços comerciais continuam, inclusive revisão de corte. Compreende uma grande quantidade de funcionários em diversos setores. Foi feita RD para serem tomadas medidas em função da redução da quantidade de funcionários porém não foi tomada nenhuma medida.";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.092402-2";"2020-03-21 09:24:02";;"GOIANIA";"Enerwatt Engenharia T63";"O governo do estado soltou mais um decreto, determinando o fechamento ou que seja realizada remotamente, o trabalho de empresas que possuem essa possibilidade. No entanto, a empresa a qual eu trabalho, continuará suas atividades presenciais na próxima segunda feira, ignorando assim o decreto estadual. Algumas pessoas de outros departamentos foram liberadas pelo seus gestores, porém, do meu departamento, o gestor exigiu que fossemos trabalhar na segunda feira...";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.093137-64";"2020-03-21 09:31:37";;"GOIANIA";"Urias Magalhães  cep 74565250 número 5106";"Empresa Solocria laboratório agropecuária funcionando normalmente mesmo com decreto do governo. Aglomeração de funcionários e recebimento de clientes. ";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.093327-29";"2020-03-21 09:33:27";"GOIANIA";"GOIANIA";"Rua 9 n80 setor marechal Rondon";"Mais uma vez a agência expresso imperial localizada na rua 9 número 80 setor marechal Rondon,está explondo  seis funcionários a doença,o proprietário não fecha a empresa ,prejudicando várias pessoas ,pois vem gente de são Paulo,Anápolis onde tem a doença já,os proprietários estão em casa ,mas os funcionários estão trabalhando sem segurança alguma.";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Solicitação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.093630-33";"2020-03-21 09:36:30";;"GOIANIA";"Bacuri Bebidas, avenida engenheiro Eurico Viana, número 379";"Estabelecimento com aglomeração de pessoas em sua parte externa e interna colocando em risco outras pessoas, inclusive idosos e crianças.";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.093940-78";"2020-03-21 09:39:40";;"APARECIDA DE GOIANIA";"Rua Itapaci, Quadra 46a Lote 24,Vila Brasília, Empresa Medição ";"Comércio de prestação de serviços, relacionados diversos segmentos, se recusa a fechar depois do decreto. Observa-se o grande fluxo de entrega de equipamentos por transportadoras. ";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.094232-50";"2020-03-21 09:42:32";;"GOIANIA";"AV T63 Nº 4143";"Loja continua aberta, mesmo com o decreto. ";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.094837-20";"2020-03-21 09:48:37";;"BOM JESUS DE GOIAS";"Indústria ";"Bom dia. No interior estamos precisando de atenção. Na cidade de Bom Jesus as pessoas ainda não estão respeitando o Decreto.A usina Goiasa está em aglomeração de funcionários com ônibus lotado. Não tendo distância entre funcionários. A empresa Goya também não tomou providências. ";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.094841-13";"2020-03-21 09:48:41";;"LUZIANIA";"Centro";"Gostaria de denunciar alguns estabelecimentos que estao de portas abertas e nao sao de utilidade publica. Polar Tintas, Innovar Acabamentos, Honda Moto e Cia e Mc Auto Peças. A grande maioria localizada no Balao da Santa de Luziania.";"4";"Finalizado pela ouvidoria.";"CGE";"Controladoria-Geral do Estado de Goiás / Ouvidoria Geral do Estado";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.095451-10";"2020-03-21 09:54:51";;"ANAPOLIS";"Rua Frei João Batista Voguel. Avenida Comercial da Vila Formosa.";"Desejo uma vistoria na rua frei joao batista voguel da vila formosa em Anápolis-Goias. Os estabelecimentos se encontram abertos em tempo de quarentena. Todos estão cientes de que era para estar fechado, mas insistem em deixar aberto. Esta região tem uma grande quantidade de idosos que se encontram nas ruas devido estes estabelecimentos estarem abertos.";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.095540-76";"2020-03-21 09:55:40";;"GOIANIA";"Av. Independência";"Saí da rodoviária, sentido praça da Bíblia, após passar por cima da Marginal Bota Fogo, reparei que ali tem diversos comércios estão abertos na Avenida Independência. ";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.095541-41";"2020-03-21 09:55:41";;"GOIANIA";"3R Embalagens, Av. César Lattes, N.1549 - Jardim Vila Boa, Goiânia - GO, 74360-280 ";"Uma loja de venda de embalagens plásticas continua funcionando, mesmo não vendendo produtos essenciais, colocando em risco os funcionários da empresa, que além do contato com os demais colegas, fazem atendimento ao público, que é movimentado no local. O responsável pelo local se nega a fechar, dizendo que só sai algemado. A loja se chama 3R embalagens e fica na Av. César Lattes, N.1549 - Jardim Vila Boa, Goiânia - GO, 74360-280.";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.095623-33";"2020-03-21 09:56:23";;"GOIANIA";"Metallight";"Empresa não respeitou a portaria de fechamento das empresas. Industria do ramo metalúrgico com funcionários acima de 60 anos.  Foi solicitado a todos os funcionários a ir trabalhar normalmente na segunda feira ";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.095754-88";"2020-03-21 09:57:54";;"GOIANIA";"Av. Dona Teresinha de Moraes Parque Amazônia ";"Moro na região do Parque Amazônia e tem galerias na qual funcionam empórios de carne, frios, utilidades e presentes, joalherias que estão abrindo normalmente desrespeitando assim o decreto do governador e os vizinhos que ali moram, causando assim trânsito desnecessário de pessoas e contribuindo para a disseminação desse vírus que tanto assola o mundo, precisamos de que as autoridades tenham pulso firme quanto a esse desrespeito e afronta com a sociedade.É uma covardia o que estão fazendo enquanto muitos trabalhadores fecharam as portas e são obrigados e multados a fazer isso na 44, nos shopping, outros apenas desrespeitam.Não tenho fotos para anexar mais vou tirar e mandar";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.100351-37";"2020-03-21 10:03:51";;"GOIANIA";"Km0 moto pecas";"Comercio abertos na independência na vila nova";"4";"Finalizado pela ouvidoria.";"CGE";"Controladoria-Geral do Estado de Goiás / Ouvidoria Geral do Estado";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.100511-50";"2020-03-21 10:05:11";;"ANAPOLIS";"Lotérica Porto Rico ";"Lotérica com acúmulo de pessoas. Pessoas muitos próximas uma da outra, fila muito grande. ";"1";;"CGE";"Controladoria-Geral do Estado de Goiás / Ouvidoria Geral do Estado";"Solicitação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.100925-50";"2020-03-21 10:09:25";;"GOIANIA";"Parque das Laranjeiras";"Aqui na avenida contorno do parque das Laranjeiras estabelecimentos não essenciais estão abertos. Inclusive uma calçada na frente do Bretas com várias bancas de Hortifruti, com muitas pessoas";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.101008-98";"2020-03-21 10:10:08";;"CERES";"Centro";"Lojas de artigos para festa chamadas Star Fest e Doce Mania estão abertas na cidade de Ceres - GO, contrariando o decreto publicado. Não vendem itens básicos e não podem ser consideradas congêneres de supermercado.";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.101153-48";"2020-03-21 10:11:53";;"GOIANIA";"Jardim América ";"Loja de armarinhos aberta e com cliente idosos.Na praça c170 Jardim América ";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.101205-1";"2020-03-21 10:12:05";;"GOIANIA";"Exército ";"Comando de operações do exército no jardim Guanabara tem casos de corona vírus confirmados, porém continuam trabalhando, se cada militar trazer para sua casa adianta de que a esposa não trabalhar, a criança não ir à escola?? A conscientização teria que vir de quem deve nos proteger, o exército teria que dar o exemplo. Tem suspeitas sim, casos confirmados, tem muito militar querendo ficar em casa mas são obrigados a trabalhar. ";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.101336-25";"2020-03-21 10:13:36";;"CATALAO";"R. Augusto Neto, 515 - São João, Catalão - GO, 75703-300";"A loja Eletrogás Refrigeração continua aberta fazendo serviços ao publico . Pois trabalham com maquinas , geladeiras fogoes ar condicionado e nao usam mascaras e luvas . ";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.101433-56";"2020-03-21 10:14:33";;"LUZIANIA";"Prefeitura ";"Na cidade de Luziânia Goiás a prefeita Edna está descumprindo o decreto do governador Ronaldo Caiado. Todos os comércios estão abertos e funcionando normalmente. Uma rua chamada: rua do comércio, um grande polo comercial de vendas de roupas, está a todo vapor. A polícia militar começou a orientar os comerciantes para o fechamento de suas lojas na quinta feita dia 19/03 porém na parte da tarde a prefeita impediu o fechamento e fez um vídeo em suas redes sociais relatando que era mentira que a polícia estaria orientando o fechamento. Hoje, dia 21/03 todos os polos comerciais e shopping continuam abertos e funcionando. A polícia não tem autonomia para tal situação. Peço atenção do estado perante a negligência e descumprimento do decreto por parte da prefeitura de Luziânia Goiás. Desde já, obrigado.";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.101704-58";"2020-03-21 10:17:04";"LUZIANIA";"LUZIANIA";"Viela José Viêira Primo, S/N - Lote 3 - Centro, Luziânia - GO, 72800-020 ";"Loja polar tintas funcionando normalmente no centro de Luziânia, a referida loja além de possuir funcionários idosos está com aglomeração tendo em vista que as outras lojas de tinta estão fechadas";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Denúncia";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.101755-13";"2020-03-21 10:17:55";;"GOIANIA";"bom preco autopecas";"Bom dia! a empresa onde trabalho esta descumprindo tudo do decreto do Governador Ronaldo caiado tem em media 190 funcionarios com as portas fechadas sem mascaras , fechou as portas mais continua atendendo por uma porta lateral  cliente entrado e saindo ( Bom preco autopecas ) aveida castelo braco N-5011";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.102052-93";"2020-03-21 10:20:52";;"GOIANIA";"Avenida C 104, Jardim América";"Existem lojas na extensão da Avenida C-104 no Jardim América ainda abertas. Moro próximo e elas não fecharam após determinação do governo. As lojas não são de alimentos, saúdes e outros serviços essenciais a população.";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.102112-91";"2020-03-21 10:21:12";"GOIANIA";"GOIANIA";"Setor central";"Tem uma ferragista no rua 4 com a Tocantins , aberta com 7  funcionário , funcionando normalmente , nenhum dos funcionários estao com mascara";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Solicitação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.102459-45";"2020-03-21 10:24:59";;"GOIANIA";;"NA RUA 209 NA VILA NOVA TEM UM BAR QUE SE CHAMA TÔ NO TRABALHO, APARENTEMENTE ESTÁ DE PORTAS FECHADAS, PORÉM OS CLIENTES FICAM DENTRO DO BAR DE PORTAS FECHADAS, O BAR TAMBÉM É UM PEG PAG, PORÉM NÃO VENDE NADA A NÃO SER BEBIDA E PETISCOS, É UM RISCO EM TEMPO DE PANDEMIA E DEVE SER MULTADO, POR TAMANHA FALTA DE RESPONSABILIDADE.";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.102537-24";"2020-03-21 10:25:37";;"GOIANIA";"Av. Castelo Branco, 3608 ";"Empresa se recusa a fechar e mantém os funcionários trabalhando de portas fechadas!";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.103600-97";"2020-03-21 10:36:00";;"GOIANIA";"Bocas Bar, Rua Turim, Vila Alvorada";"bar aberto com aglomeração de pessoas principalmente idosos";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.103603-62";"2020-03-21 10:36:03";;"GOIANIA";"Leste universitário ";"TEM UMA OBRA DE CONSTRUÇÃO PRÉDIO RESIDENCIAL  AQUI NO SETOR LESTE UNIVERSITÁRIO NO QUAL ESTÃO FUNCIONANDO NORMALMENTE. ";"1";;"CGE";"Controladoria-Geral do Estado de Goiás / Ouvidoria Geral do Estado";"Solicitação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.103717-91";"2020-03-21 10:37:17";;"ANAPOLIS";"Supermercado Reis ";"Supermercado Reis, Avenida Jânio Quadros, n. 265, Bairro São Carlos, Anápolis-GO. Está apinhado de gente, muito cheio, não há filtro para o número de consumidores. Risco de disseminação do vírus. ";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.104021-5";"2020-03-21 10:40:21";;"GOIAS";"Bom preço auto peças av. Castelo Branco";"ATENÇÃO!  A bom preço auto peças setor rodoviário da avenida Castelo branco está funcionando com seus mais de 100 funcionarios no estabelecimento em local com muita aglomerações, estão fazendo essa pratica hoje e vai continuar durante toda a semana que vem.. ";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.104456-23";"2020-03-21 10:44:56";;"GOIANIA";"Jô Magalhães Cabeleleiro ";"Estabelecimento aberto mesmo com decreto para fechar.Salão de Beleza  ao lado do Supermercado Ponto Final na vila redenção.";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.104630-25";"2020-03-21 10:46:30";"ANAPOLIS";"ANAPOLIS";"bairro DAIA";"Empresa não acata decreto do governador de fechar por 15 dias, Empresa tem um colaborador (eletricista) já foi afastado por suspeita do sintomas do Corona vírus, devido seu filho foi atendido pela médica infectada que trabalha no hospital de queimaduras de Anápolis, recem chegada da italia.Solicito por favor a apuração e se possível interdição da fábrica.Adubos Araguaia Industria Rua R-02, Qd. 11-D, Módulos 27/55, Anápolis - GO(62) 3310-8133Adubos Araguaia Loja Av. Brasil Sul, 4040 - Cidade Jardim, Anápolis - GO,Telefone: (62) 3321-9700muito obrigado.";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Solicitação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.104737-39";"2020-03-21 10:47:37";;"GOIANESIA";"Ofícina de moto, Rua 32 entre a para e 23";"Comerciantes derrespeitando medidas do decreto do governador ";"4";"Finalizado pela ouvidoria.";"CGE";"Controladoria-Geral do Estado de Goiás / Ouvidoria Geral do Estado";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.104754-27";"2020-03-21 10:47:54";;"GOIANIA";"Rua N , quadra 49, lote 09 Vika Santa Helena  Goiânia, priximo padaria Supremo.  Esquinacom avenida pkntojo";"Denunciar que no meu setor tem uma distribuidora de bebidas, que não fechou as portas, esta funcionando das 8:00 da manhã até as 24:00 horas. Onde esta havendo aglomerações de pessoas sentadas em frente bebendo sem respeitar distâncias mínimas uns dos outros. O nome da distribuidora é  Dubai Bebidad";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.105230-81";"2020-03-21 10:52:30";;"GOIAS";"Guanabara";"Loja aberta em quarentena... Colocando funcionários em risco de contaminação .... Loja não está dentro do grupo que foi autorizada a ficar em funcionamento.";"4";"Finalizado pela ouvidoria.";"CGE";"Controladoria-Geral do Estado de Goiás / Ouvidoria Geral do Estado";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.105301-98";"2020-03-21 10:53:01";;"ANAPOLIS";"Globaço av Brasil ";"Não está querendo fechar a loja ";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.105508-15";"2020-03-21 10:55:08";;"QUIRINOPOLIS";"Rodovia Go 206, km0 aeroporto municipal de Quirinópolis ";"Empresa Aerotek aviação agrícola no qual tem vários funcionários, e ainda fica mandando os funcionários pra fora pra outras cidades todos os dias, as pessoas q trabalha lá continuam a vida normal sendo, q já tem duas suspeitas de corona vírus na cidade";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.105759-91";"2020-03-21 10:57:59";;"BARRO ALTO";"Anglo American";"Gostaria de denunciar a empresa ANGLO AMERICAN pelo nao cumprimento do decreto do governador do estado, pois os funcionarios estao sendo obrigados a irem trabalhar mesmo com a proibicao do Dr Ronaldo Caiado.Os funcionarios sao obrigados a ir de onibus cheios e fechados, e trabalhar normalmente.A empresa fica na cidade de Barro Alto e os empregados residem em Barro Alto e Goianesia.UM ABSURDO ISTO. EMPRESA NAO ESTA RESPEITANDO O DECRETO DO GOVERNADOR.";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.105824-86";"2020-03-21 10:58:24";;"ANAPOLIS";"Av Brasil";"Empresa não querendo fechar";"4";"Finalizado pela ouvidoria.";"CGE";"Controladoria-Geral do Estado de Goiás / Ouvidoria Geral do Estado";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.110114-29";"2020-03-21 11:01:14";;"GOIANIA";"Guanabara";"Venho através deste fazer uma denuncia de uma loja de uma loja Atacadão bateria do Guanabara estar em funcionamento normal sabendo q foi feito um decreto pelo nosso governador exigindo a quarentena da população e sabendo q essa rede não está dentro do grupo autorizado pelo governador. O risco de contaminação na e gigante se esse loja ficar em funcionamento. Peço por gentileza q façam a averiguação desse local.";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.110250-61";"2020-03-21 11:02:50";;"GOIANIRA";"Toda a cidade";"Comércios abertos, descumprimento o decreto do Governador e o decreto do Prefeito do Município de Goianira. Há comércios abertos e aglomerações de pessoas.";"4";"Finalizado pela ouvidoria.";"CGE";"Controladoria-Geral do Estado de Goiás / Ouvidoria Geral do Estado";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.110306-71";"2020-03-21 11:03:06";;"VALPARAISO DE GOIAS";"Al. Santa Maria, BR-040 - Parque Esplanada V, GO, 76600-000";"A Havan do Valparaíso de Goiás está funcionando normalmente, sendo que a ordem é toda população ficar em casa para evitar aglomerações, contaminação... Se queremos que o Covid 19 acabe, a Havan também tem que seguir o decreto, as ordens... A Havan não é algo essencial como mercados, farmácias e outros serviços autorizados no decreto. Liguei lá e me falaram que se eu quisesse, eles estariam funcionando no horário normal...isso é um absurdo! ";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0321.110704-49";"2020-03-21 11:07:04";;"GOIANIA";"Setor Rodoviário";"Empresa Bom Preço no setor rodoviário av. Castelo Branco está funcionando de portas fechadas com todos os funcionários dentro.";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
